ARTICULO;DESCRIPCION;PROVEEDOR;NOMBRE;STOCK;IMPORTE
BN6;GAFAS PROTECTORAS;BN6;FERRETERIA PLAZA, S. L.;11;1,73
BN6;GAFAS PROTECTORAS;BN6;JUMAR COMERCIAL-JUAN M.VICENTE GLEZ;2;3
BN6;GAFAS PROTECTORAS;BN6;MAFERGA, S.A.;35;1,07
BN7;LUCES FLASH CARCASA MACIZA;BN7;PASAXE Suministros Navales, S. L.;5;15
BN7;LUCES FLASH CARCASA MACIZA;BN7;EESL- ELECTRONICA EUTIMIO,SL;12;23,09
BN7;LUCES FLASH CARCASA MACIZA;BN7;VARIOS;6;21,5
BN9;MINI RODILLO RADIADOR 11CM;BN9;VARIOS;50;0
BO1;MULTIUSOS CRISTASOL C/PTOL.750;BO1;MERCASH SAR, S. L.;14;1,43
BO2;LIMPIAMETALES;BO2;FERRETERIA PLAZA, S. L.;1;2,78
BO3;CERVEZA SAN MIGUEL 0,0 24/33cc;BO3;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;2;7,68
BO4;REFR/ENERGY POWERKING 24/25cc;BO4;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;117;7,31
BO6;CAFETERA PAVA INOX 3.5 Litros;BO6;FERRETERIA PLAZA, S. L.;5;18,67
BO6;CAFETERA PAVA INOX 3.5 Litros;BO6;MAFERGA, S.A.;3;17,72
BO7;FUENTE OVAL INOX 35;BO7;MAFERGA, S.A.;4;2,26
BO8;FUENTE OVAL INOX 40;BO8;FERRETERIA PLAZA, S. L.;5;10,29
BO8;FUENTE OVAL INOX 40;BO8;MAFERGA, S.A.;2;9,8
BO9;ALFOMBRA PRACTICO 65CM;BO9;FERRETERIA PLAZA, S. L.;31;4,95
BP2;YOGURT PASC. 125g PK4 MACEDON.;BP2;MERCASH SAR, S. L.;7;0,85
BP2;YOGURT PASC. 125g PK4 MACEDON.;BP2;QUALIANZA SER. INT. DIST. S.L.U.;352;1,11
BP2;YOGURT PASC. 125g PK4 MACEDON.;BP2;DISMAVI, S. L.;90;0,93
BP3;YOGURT PASC. 125g PK4 FRESA;BP3;MERCASH SAR, S. L.;4;0,84
BP3;YOGURT PASC. 125g PK4 FRESA;BP3;PONTEVICUS, S. L.;25;0,95
BP3;YOGURT PASC. 125g PK4 FRESA;BP3;MAPA SPONTEX IBERICA, S. A.;1;0,98
BP3;YOGURT PASC. 125g PK4 FRESA;BP3;QUALIANZA SER. INT. DIST. S.L.U.;484;1,17
BP3;YOGURT PASC. 125g PK4 FRESA;BP3;DISMAVI, S. L.;61;0,93
